подсистема,оператор_описаниги,класс,экземпляров_в_файле,блок_СНХМ,тип,имя_в_файле,смысл_по_описаниге,вердикт,фактическое_соответствие
схема 1-17.2 ядро+инвестиции,11,глобальный,1,11,2,платежи населения,"входы-константы | ставки: 11 — НДС, 13 — налог на прибыль, 14 — налог на фонды, 12 и 28 — по контексту ставки/коэффициенты (в тексте явно не расшифрованы)",не совпадает,"ставки в файле: #14 НДС, #13 из выручки, #15 из прибыли, #16 на фонды, #12 подоходный, #19 из торговли, #18 от ФОТ"
схема 9-17.10 бюджет,11,глобальный,1,11,2,платежи населения,налог на добавленную стоимость,не совпадает,см. фактические номера ставок выше
схема 14 розн.рынок,11,глобальный,1,11,2,платежи населения,НДС,не совпадает,НДС = #14
схема 1-17.2 ядро+инвестиции,12,глобальный,1,12,2,подоходный налог,"входы-константы | ставки: 11 — НДС, 13 — налог на прибыль, 14 — налог на фонды, 12 и 28 — по контексту ставки/коэффициенты (в тексте явно не расшифрованы)",не совпадает,"ставки в файле: #14 НДС, #13 из выручки, #15 из прибыли, #16 на фонды, #12 подоходный, #19 из торговли, #18 от ФОТ"
схема 9-17.10 бюджет,12,глобальный,1,12,2,подоходный налог,налог из выручки,не совпадает,см. фактические номера ставок выше
схема 1-17.2 ядро+инвестиции,13,глобальный,1,13,2,налог из выручки предприятия,"входы-константы | ставки: 11 — НДС, 13 — налог на прибыль, 14 — налог на фонды, 12 и 28 — по контексту ставки/коэффициенты (в тексте явно не расшифрованы)",не совпадает,"ставки в файле: #14 НДС, #13 из выручки, #15 из прибыли, #16 на фонды, #12 подоходный, #19 из торговли, #18 от ФОТ"
схема 9-17.10 бюджет,13,глобальный,1,13,2,налог из выручки предприятия,налог из прибыли,не совпадает,см. фактические номера ставок выше
схема 1-17.2 ядро+инвестиции,14,глобальный,1,14,2,НДС,"входы-константы | ставки: 11 — НДС, 13 — налог на прибыль, 14 — налог на фонды, 12 и 28 — по контексту ставки/коэффициенты (в тексте явно не расшифрованы)",не совпадает,"ставки в файле: #14 НДС, #13 из выручки, #15 из прибыли, #16 на фонды, #12 подоходный, #19 из торговли, #18 от ФОТ"
схема 9-17.10 бюджет,14,глобальный,1,14,2,НДС,налог за основные фонды,не совпадает,см. фактические номера ставок выше
схема 9-17.10 бюджет,15,глобальный,1,15,2,налог из прибыли,подоходный налог с населения,не совпадает,см. фактические номера ставок выше
схема 15-17.17 соцгруппа,15,глобальный,1,15,2,налог из прибыли,подоходный налог (вычет),совпадает,
схема 9-17.10 бюджет,16,глобальный,1,16,2,налог на основн фонды,налог из розничной торговли,не совпадает,см. фактические номера ставок выше
схема 14 розн.рынок,16,глобальный,1,16,2,налог на основн фонды,ставка торговой надбавки,не совпадает,"торг. наценка = #k179/#k180 (k=4,5,11)"
схема 1-17.2 ядро+инвестиции,28,глобальный,1,28,2,коэф сбора налог,"входы-константы | ставки: 11 — НДС, 13 — налог на прибыль, 14 — налог на фонды, 12 и 28 — по контексту ставки/коэффициенты (в тексте явно не расшифрованы)",совпадает,
схема 9-17.10 бюджет,42,глобальный,1,42,4,все налоги и платежи,сумма доходов бюджета,совпадает,
схема 9-17.10 бюджет,43,глобальный,1,43,3,накопленный     дефицит бюджета,накопленный дефицит,совпадает,
схема 9-17.10 бюджет,44,глобальный,1,44,14,текущий дефицит бюджета,дефицит,совпадает,
схема 8 кредит,47,глобальный,1,47,2,ставка проц оборотнонго кредита,ставка кредита,совпадает,
схема 9-17.10 бюджет,48,глобальный,1,48,4,степень наличия бюджетн ресурсов,коэффициент секвестра расходов,совпадает,
схема 9-17.10 бюджет,50,глобальный,1,50,2,степень возможности роста расходов,профицит,не совпадает,профицит = #59 (поток) и #30/#20 (накопленный); #50 = степень возможности роста расходов
схема 9-17.10 бюджет,51,глобальный,1,51,4,основные статьи расхода бюджета,план (сумма) расходов бюджета,совпадает,
схема 9-17.10 бюджет,52,глобальный,1,52,11,формир эмиссии,делитель доходы/расходы (=1 при балансе),не совпадает,доходы/расходы = #89; #52 = формир эмиссии
схема 9-17.10 бюджет,53,глобальный,1,53,14,,сигнал дефицита (=1 при отсутствии дефицита),частично,
схема 9-17.10 бюджет,54,глобальный,1,54,4,доходы бюджета + эмиссия,сумма доходов + эмиссия,совпадает,
схема 9-17.10 бюджет,55,глобальный,1,55,5,всего накопленная эмиссия,количество эмитированных денег,совпадает,
схема 9-17.10 бюджет,56,глобальный,1,56,2,выдача рублевых лицензий,другие поступления,частично,
схема 11 внешн.долг,57,глобальный,1,57,2,выдача дол лицензий,другие инвалютные поступления (экзогенно),совпадает,
схема 9-17.10 бюджет,61,глобальный,1,61,13,заказ бюджета натурального количества сырья,сектор сырья (госзаказ),совпадает,
схема 9-17.10 бюджет,71,глобальный,1,71,9,возможность бюджета закупить запланированное сырье,сектор сырья (госзаказ),совпадает,
схема 9-17.10 бюджет,83,глобальный,1,83,13,заказ бюджета натурального количества проч продукц,прочие сектора,совпадает,
схема 9-17.10 бюджет,84,глобальный,1,84,13,оплата бюджета бюджетников,бюджетники,совпадает,
схема 9-17.10 бюджет,85,глобальный,1,85,11,оплата бюджета военных,военные,совпадает,
схема 9-17.10 бюджет,86,глобальный,1,86,13,оплата бюджета пенсионеров,пенсионеры,совпадает,
схема 9-17.10 бюджет,87,глобальный,1,87,11,оплата бюджета безработных,безработные,совпадает,
схема 6 предм.труда,88,глобальный,1,88,2,включение прекращения поставок сырья при неоплате прежних поставок,переключатели режима реакции поставщика на долг,совпадает,
схема 9-17.10 бюджет,93,глобальный,1,93,9,возможность бюджета закупить запланированное прочее,прочие сектора,совпадает,
схема 9-17.10 бюджет,94,глобальный,1,94,9,возможность бюджета оплачивать запланированных бюджетников,бюджетники,совпадает,
схема 9-17.10 бюджет,95,глобальный,1,95,9,возможность бюджета оплачив запланированных военных,военные,совпадает,
схема 9-17.10 бюджет,96,глобальный,1,96,9,возможность бюджета оплачив запланированных пенсионеров,пенсионеры,совпадает,
схема 9-17.10 бюджет,97,глобальный,1,97,9,возможность бюджета оплачивать запланированных безработных,безработные,совпадает,
схема 1-17.2 ядро+инвестиции,99,глобальный,1,99,2,включение возврата долга за поставленное сырье из прибыли,K / сигнал | включение-отключение режима «выплаты — невыплаты» долгов,совпадает,
схема 11 внешн.долг,100,глобальный,1,100,5,накопления минфина дол от внешнеэконом тарифов,инвалютные накопления Минфина (интегратор),совпадает,
схема 9-17.10 бюджет,101,глобальный,1,101,2,расходы бюджета на сырье,сектор сырья (госзаказ),совпадает,
схема 9-17.10 бюджет,113,глобальный,1,113,2,расходы бюджета на  прочую продукцию,прочие сектора,совпадает,
схема 9-17.10 бюджет,114,глобальный,1,114,2,оплата бюджетников,бюджетники,совпадает,
схема 9-17.10 бюджет,115,глобальный,1,115,2,оплата военных,военные,совпадает,
схема 9-17.10 бюджет,116,глобальный,1,116,2,расходы на опл пенсионеров,пенсионеры,совпадает,
схема 9-17.10 бюджет,117,глобальный,1,117,2,расходы на безработных,безработные,совпадает,
схема 11 внешн.долг,118,глобальный,1,118,2,другие валютные расходы минфина,другие инвалютные расходы (экзогенно),совпадает,
схема 11 внешн.долг,121,глобальный,1,121,1,накопления минфина дол от внешнеэконом тарифов,таможенные сборы,совпадает,
схема 9-17.10 бюджет,122,глобальный,1,122,2,темп продажи накопл минфином дол на рубл,"продажа инвалюты Минфином в бюджет, темп продажи",совпадает,
схема 9-17.10 бюджет,123,глобальный,1,123,14,степень наличия дол у минфина,"продажа инвалюты Минфином в бюджет, темп продажи",совпадает,
схема 9-17.10 бюджет,124,глобальный,1,124,9,величина уплаты внешнего долга в рублях,выплата внешнего долга (в бюджетные расходы),совпадает,
схема 11 внешн.долг,125,глобальный,1,125,15,выплата внешн долга за счет покупки дол на бирже как расхлд бюджета,ключ покупки инвалюты за бюджетные рубли,совпадает,
схема 11 внешн.долг,126,глобальный,1,126,15,интенсивность выплат внешн долга за счет средств минфина,ключ выплаты из инвалютных накоплений,совпадает,
