idx,type,type_name,name,formula,pa,ra,pb,rb,coefs,srcs,saved,editable
1,1,Σ,,1·1,,,,,1,const,0,0
3,2,уставка·Σ,цена найма жилья (25 кв метров),1·(1·1),1,3,,,1,const,0,1
4,3,∫,цена досуга,"∫(-1·1 + 0.007479·[204]) dt, x0=0.1",0.1,0,,,-1;0.007479,const;204,2.59754,0
5,3,∫,цена услуг,"∫(-1·1 + 0.04124·[203]) dt, x0=0.1",0.1,0,,,-1;0.04124,const;203,1.87133,0
6,2,уставка·Σ,спрос из сф потребл на ПП (сумма спросов всех социальных групп)нормировано к 2,1·(1·[201]),1,0,,,1,201,0,0
7,2,уставка·Σ,ставка налога на личное жилье,0.05·(1·1),0.05,7,,,1,const,0,1
8,2,уставка·Σ,ставка акциза на пищевую прод в проц,40·(0.01·1),40,8,,,0.01,const,0,1
9,2,уставка·Σ,дополн налог - акциз на газ,20·(0.01·1),20,9,,,0.01,const,0,1
10,2,уставка·Σ,ставка акциза на нефть в проц,30·(0.01·1),30,10,,,0.01,const,0,1
11,2,уставка·Σ,платежи населения,5·(0.01·1),5,11,,,0.01,const,0,1
12,2,уставка·Σ,подоходный налог,12·(0.01·1),12,12,,,0.01,const,0,1
13,2,уставка·Σ,налог из выручки предприятия,4·(0.01·1),4,13,,,0.01,const,0,1
14,2,уставка·Σ,НДС,20·(0.01·1),20,14,,,0.01,const,0,1
15,2,уставка·Σ,налог из прибыли,30·(0.01·1),30,15,,,0.01,const,0,1
16,2,уставка·Σ,налог на основн фонды,3·(0.01·1),3,16,,,0.01,const,0,1
17,2,уставка·Σ,другие налоги,20·(0.01·1),20,17,,,0.01,const,0,1
18,2,уставка·Σ,отчисления от   ФОТ,41·(0.01·1),41,18,,,0.01,const,0,1
19,2,уставка·Σ,налог из торговли,20·(0.01·1),20,19,,,0.01,const,0,1
20,14,clip Σ,,"clip(1·[37] + -1·[30], 0, 1.11111e+06)",0,0,1.11111e+06,0,1;-1,37;30,0,0
21,2,уставка·Σ,сбора платежей  населения,100·(0.01·[11]),100,21,,,0.01,11,0,1
22,2,уставка·Σ,К сбора подоходннал с населения,100·(0.01·[12]),100,22,,,0.01,12,0,1
23,2,уставка·Σ,К сбора налога  из выручки,100·(0.01·[13]),100,23,,,0.01,13,0,1
24,2,уставка·Σ,К сбора НДС,100·(0.01·[14]),100,24,,,0.01,14,0,1
25,2,уставка·Σ,К сбора налогов из прибыли,100·(0.01·[15]),100,25,,,0.01,15,0,1
26,2,уставка·Σ,К сбора налога  на основн фонды,100·(0.01·[16]),100,26,,,0.01,16,0,1
27,2,уставка·Σ,К сбора других  налогов,100·(0.01·[17]),100,27,,,0.01,17,0,1
28,2,уставка·Σ,коэф сбора налог,100·(0.01·[18]),100,28,,,0.01,18,0,1
29,2,уставка·Σ,проц сбора налог,100·(0.01·[19]),100,29,,,0.01,19,0,1
30,5,∫ с пределами,,"∫(1·[50]) dt, x0=1, pa1=0, hi=1.11111e+06",1;0,0;0,1.11111e+06,0,1,50,0,0
31,2,уставка·Σ,другие платежи  населения,1.46·(1·[1807] + 1·[2807] + 1·[3807] + 1·[4807] + 1·[5807] + 1·[6807] + 1·[7807] + 1·[8807] + 1·[9807] + 1·[10807] + 1·[11807] + 1·[12807] + 1·[13807] + 1·[15107] + 1·[15207] + 1·[15307] + 1·[15407] + 1·[15507]),1.46,0,,,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,1807;2807;3807;4807;5807;6807;7807;8807;9807;10807;11807;12807;13807;15107;15207;15307;15407;15507,0,0
32,2,уставка·Σ,сумма подоходного налога,1.46·(1·[15103] + 1·[15503] + 1·[1803] + 1·[2803] + 1·[3803] + 1·[4803] + 1·[5803] + 1·[6803] + 1·[7803] + 1·[8803] + 1·[9803] + 1·[10803] + 1·[11803] + 1·[12803] + 1·[13803] + 1·[16103] + 1·[16203] + 1·[16303] + 1·[16403]),1.46,0,,,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,15103;15503;1803;2803;3803;4803;5803;6803;7803;8803;9803;10803;11803;12803;13803;16103;16203;16303;16403,0,0
33,2,уставка·Σ,сумма налогов извыручки предприя,0.146·(0.001·1 + 1·[1048] + 1·[2048] + 1·[3048] + 1·[4048] + 1·[5048] + 1·[6048] + 1·[7048] + 1·[8048] + 1·[9048] + 1·[10048] + 1·[11048] + 1·[12048] + 1·[13048]),0.146,0,,,0.001;1;1;1;1;1;1;1;1;1;1;1;1;1,const;1048;2048;3048;4048;5048;6048;7048;8048;9048;10048;11048;12048;13048,0,0
34,2,уставка·Σ,сумма НДС,0.146·(0.001·1 + 1·[1047] + 1·[2047] + 1·[3047] + 1·[4047] + 1·[5047] + 1·[6047] + 1·[7047] + 1·[8047] + 1·[9047] + 1·[10047] + 1·[11047] + 1·[12047] + 1·[13047] + 1·[5189]),0.146,0,,,0.001;1;1;1;1;1;1;1;1;1;1;1;1;1;1,const;1047;2047;3047;4047;5047;6047;7047;8047;9047;10047;11047;12047;13047;5189,0,0
35,2,уставка·Σ,сумма налога из прибыли,0.293·(0.001·1 + 1·[1049] + 1·[2049] + 1·[3049] + 1·[4049] + 1·[5049] + 1·[6049] + 1·[7049] + 1·[8049] + 1·[9049] + 1·[10049] + 1·[11049] + 1·[12049] + 1·[13049]),0.293,0,,,0.001;1;1;1;1;1;1;1;1;1;1;1;1;1,const;1049;2049;3049;4049;5049;6049;7049;8049;9049;10049;11049;12049;13049,0,0
36,2,уставка·Σ,сумма налога на основные  фонды,0.44·(0.001·1 + 1·[1050] + 1·[2050] + 1·[3050] + 1·[4050] + 1·[5050] + 1·[6050] + 1·[7050] + 1·[8050] + 1·[9050] + 1·[10050] + 1·[11050] + 1·[12050] + 1·[13050]),0.44,0,,,0.001;1;1;1;1;1;1;1;1;1;1;1;1;1,const;1050;2050;3050;4050;5050;6050;7050;8050;9050;10050;11050;12050;13050,0,0
37,3,∫,,"∫(1·[59]) dt, x0=1",1,0,,,1,59,0,0
38,2,уставка·Σ,сумма отчислений от ФОТ,0.1·(0.001·1 + 1·[1054] + 1·[2054] + 1·[3054] + 1·[4054] + 1·[5054] + 1·[6054] + 1·[7054] + 1·[8054] + 1·[9054] + 1·[10054] + 1·[11054] + 1·[12054] + 1·[13054] + 1·[4189]),0.1,0,,,0.001;1;1;1;1;1;1;1;1;1;1;1;1;1;1,const;1054;2054;3054;4054;5054;6054;7054;8054;9054;10054;11054;12054;13054;4189,0,0
39,15,ключ,,(1·[20]) > 0 ? [900] : 0,,,0,900,1,20,0,0
40,2,уставка·Σ,поступления из соц сферы,1·(1·[31] + 1·[32]),1,0,,,1;1,31;32,0,0
41,9,Π,другие доходы    бюджета (из внешн торговли),[587]·[501],0;0,587;501,,,,,0,0
42,4,1/(Tp+1)·g,все налоги и платежи,"clip(0.8907·(1·[45] + 1·[40] + 1·[41] + 1·[60] + 1·[56]), 0.2, 1)",0.8907,0,1;0.2,0;0,1;1;1;1;1,45;40;41;60;56,1770.12,0
43,3,∫,накопленный     дефицит бюджета,"∫(0.1·[44]) dt, x0=1",1,0,,,0.1,44,0.511917,0
44,14,clip Σ,текущий дефицит бюджета,"clip(-1·[42] + 1·[51], 0, 1e+06)",0,0,1e+06,0,-1;1,42;51,0,0
45,2,уставка·Σ,доходыы бюджета от налогов,0.8·(1·[33] + 1·[34] + 1·[35] + 1·[36]),0.8,0,,,1;1;1;1,33;34;35;36,0,0
